ID,Date,Region,Revenue,Price,Discount,Email
1,2024-01-01,East,1200,40,55,a@x.com
2,2024-02-01,West,1500,45,52,b@x.com
3,2024-03-01,East,1800,50,48,
4,2024-04-01,North,2200,55,45,d@x.com
5,2024-05-01,West,2600,60,42,
6,2024-06-01,East,3100,65,38,f@x.com
7,2024-07-01,South,3500,70,35,
8,2024-08-01,West,4000,75,32,h@x.com
9,2024-09-01,East,4600,80,28,
10,2024-10-01,North,5200,85,25,j@x.com
11,2024-11-01,West,5900,90,22,
12,2024-12-01,East,6800,95,18,l@x.com
13,2024-01-15,East,1200,40,55,a@x.com
14,2025-01-01,West,15000,200,5,m@x.com
15,2025-02-01,North,800,30,60,
